"Name","Genes (tot)","Stat (dist.dir.up)","p (dist.dir.up)","p adj (dist.dir.up)","Stat (dist.dir.dn)","p (dist.dir.dn)","p adj (dist.dir.dn)","Stat (non-dir.)","p (non-dir.)","p adj (non-dir.)","Genes (up)","Stat (mix.dir.up)","p (mix.dir.up)","p adj (mix.dir.up)","Genes (down)","Stat (mix.dir.dn)","p (mix.dir.dn)","p adj (mix.dir.dn)"
"pyrimidine nucleotide biosynthetic process [GO:0006221]",4,1,1,1,1e-100,0.017898,0.20451,1e-100,0.015798,0.082603,0,NA,NA,NA,4,1e-100,0.019198,0.12443
"'de novo' UMP biosynthetic process [GO:0044205]",5,1,1,1,1e-100,0.0074993,0.13474,1e-100,0.0051995,0.039646,0,NA,NA,NA,5,1e-100,0.0079992,0.082345
"mitotic nuclear membrane biogenesis [GO:0101026]",3,0.67423,0.46755,0.92873,0.32577,0.53255,1,0.015339,0.28647,0.61676,1,0.04569,0.53895,0.9993,2,0.00016352,0.38836,0.75473
"homoserine biosynthetic process [GO:0009090]",3,1,1,1,1e-100,0.050595,0.27695,1e-100,0.044296,0.14475,0,NA,NA,NA,3,1e-100,0.047895,0.17462
"fatty acid elongation, monounsaturated fatty acid [GO:0034625]",7,0.85111,0.80802,1,0.14889,0.19208,0.58829,0.29779,0.90641,0.9999,0,NA,NA,NA,7,0.29779,0.9509,1
"fatty acid elongation, polyunsaturated fatty acid [GO:0034626]",7,0.85111,0.80802,1,0.14889,0.19208,0.58829,0.29779,0.90641,0.9999,0,NA,NA,NA,7,0.29779,0.9509,1
"fatty acid elongation, saturated fatty acid [GO:0019367]",7,0.85111,0.80802,1,0.14889,0.19208,0.58829,0.29779,0.90641,0.9999,0,NA,NA,NA,7,0.29779,0.9509,1
"sphingolipid biosynthetic process [GO:0030148]",17,0.82326,0.88291,1,0.17674,0.11719,0.43766,0.35349,0.9973,0.9999,0,NA,NA,NA,17,0.35349,0.9991,1
"very long-chain fatty acid biosynthetic process [GO:0042761]",24,0.83138,0.93641,1,0.16862,0.063694,0.2914,0.33724,0.9994,0.9999,0,NA,NA,NA,24,0.33724,1,1
"fatty acid elongation [GO:0030497]",17,0.82326,0.88291,1,0.17674,0.11719,0.43766,0.35349,0.9973,0.9999,0,NA,NA,NA,17,0.35349,0.9991,1
"mitochondrion inheritance [GO:0000001]",3,0.43184,0.13149,0.49267,0.56816,0.86861,1,0.19702,0.65523,0.9999,2,0.29553,0.62404,0.9993,1,1e-100,0.36796,0.75473
"unsaturated fatty acid biosynthetic process [GO:0006636]",3,0.43184,0.13149,0.49267,0.56816,0.86861,1,0.19702,0.65523,0.9999,2,0.29553,0.62404,0.9993,1,1e-100,0.36796,0.75473
"long-chain fatty acid metabolic process [GO:0001676]",28,0.80099,0.88521,1,0.19901,0.11489,0.43766,0.26542,0.9794,0.9999,4,0.53589,0.9626,0.9993,24,0.22034,0.9602,1
"long-chain fatty-acyl-CoA metabolic process [GO:0035336]",18,0.77851,0.74833,1,0.22149,0.25177,0.64894,0.25442,0.93431,0.9999,3,0.43431,0.85871,0.9993,15,0.21845,0.92471,1
"long-chain fatty acid import into cell [GO:0044539]",10,0.84145,0.84812,1,0.15855,0.15198,0.51506,0.28522,0.92471,0.9999,1,0.84064,0.94441,0.9993,9,0.22351,0.88351,1
"long-chain fatty acid import into peroxisome [GO:0015910]",11,0.5868,0.14259,0.49267,0.4132,0.85751,1,0.43886,0.999,0.9999,6,0.64476,0.9982,0.9993,5,0.19179,0.74693,1
"very long-chain fatty acid catabolic process [GO:0042760]",11,0.5868,0.14259,0.49267,0.4132,0.85751,1,0.43886,0.999,0.9999,6,0.64476,0.9982,0.9993,5,0.19179,0.74693,1
"acyl-CoA metabolic process [GO:0006637]",10,0.80953,0.77682,1,0.19047,0.22328,0.61909,0.34907,0.9779,0.9999,1,0.84064,0.94441,0.9993,9,0.29445,0.9654,1
"fatty acid catabolic process [GO:0009062]",11,0.73594,0.55754,1,0.26406,0.44256,0.9528,0.31733,0.9666,0.9999,2,0.42032,0.79442,0.9993,9,0.29445,0.9654,1
"L-histidine biosynthetic process [GO:0000105]",9,1,1,1,1e-100,9.999e-05,0.018298,1e-100,0.00019998,0.0060994,0,NA,NA,NA,9,1e-100,0.00019998,0.0058328
"protein glycosylation [GO:0006486]",10,0.62632,0.24128,0.67784,0.37368,0.75882,1,0.31857,0.9606,0.9999,5,0.57121,0.9841,0.9993,5,0.065934,0.39196,0.75473
"phosphatidic acid biosynthetic process [GO:0006654]",3,0.66661,0.36886,0.82059,0.33339,0.63174,1,0.00010901,0.19188,0.43351,1,3.2972e-60,0.29897,0.7833,2,0.00016352,0.38836,0.75473
"cardiolipin biosynthetic process [GO:0032049]",3,1,1,1,1e-100,0.050595,0.27695,1e-100,0.044296,0.14475,0,NA,NA,NA,3,1e-100,0.047895,0.17462
"carnitine metabolic process [GO:0009437]",3,0.30331,0.032597,0.28406,0.69669,0.9675,1,0.16181,0.61134,0.9999,2,0.076328,0.35746,0.82154,1,0.33279,0.85371,1
"hydrogen peroxide catabolic process [GO:0042744]",5,0.8661,0.79302,1,0.1339,0.20708,0.61623,0.2678,0.82372,0.9999,0,NA,NA,NA,5,0.2678,0.89341,1
"phospholipid biosynthetic process [GO:0008654]",4,0.75,0.56434,1,0.25,0.43626,0.9528,1.8497e-15,0.050695,0.15724,1,3.2972e-60,0.29897,0.7833,3,2.4663e-15,0.13289,0.38879
"ceramide biosynthetic process [GO:0046513]",10,0.8512,0.86681,1,0.1488,0.13329,0.47826,0.29759,0.93951,0.9999,0,NA,NA,NA,10,0.29759,0.9722,1
"plasma membrane organization [GO:0007009]",5,0.93849,0.88331,1,0.061511,0.11679,0.43766,0.12302,0.45675,0.86171,0,NA,NA,NA,5,0.12302,0.55524,0.9386
"chitin biosynthetic process [GO:0006031]",3,1,1,1,1e-100,0.050595,0.27695,1e-100,0.044296,0.14475,0,NA,NA,NA,3,1e-100,0.047895,0.17462
"phosphatidylethanolamine biosynthetic process [GO:0006646]",5,0.65965,0.36276,0.82059,0.34035,0.63734,1,0.11931,0.44696,0.86097,2,0.29827,0.62574,0.9993,3,2.4663e-15,0.13289,0.38879
"chorismate biosynthetic process [GO:0009423]",6,1,1,1,1e-100,0.0017998,0.047052,1e-100,0.0010999,0.01258,0,NA,NA,NA,6,1e-100,0.0027997,0.037689
"propionate catabolic process, 2-methylcitrate cycle [GO:0019629]",3,0.32524,0.038696,0.30789,0.67476,0.9615,1,0.016191,0.29097,0.61916,2,1e-100,0.077692,0.4223,1,0.048573,0.70153,1
"lipid storage [GO:0019915]",3,0.66101,0.34487,0.82059,0.33899,0.65543,1,0.011313,0.27907,0.60798,1,2.0982e-31,0.34217,0.80534,2,0.016969,0.47995,0.87491
"triglyceride biosynthetic process [GO:0019432]",4,0.49576,0.13389,0.49267,0.50424,0.86641,1,0.0084846,0.17858,0.40851,2,6.832e-21,0.12459,0.51839,2,0.016969,0.47995,0.87491
"CTP biosynthetic process [GO:0006241]",11,0.80565,0.76802,1,0.19435,0.23208,0.62684,0.18255,0.66653,0.9999,2,0.43311,0.81682,0.9993,9,0.12687,0.57684,0.9386
"'de novo' L-methionine biosynthetic process [GO:0071266]",3,0.62672,0.28287,0.71897,0.37328,0.71723,1,0.079898,0.46485,0.86804,1,1e-100,0.27267,0.74417,2,0.11985,0.68193,0.99973
"transsulfuration [GO:0019346]",5,0.69848,0.43056,0.90222,0.30152,0.56954,1,0.20304,0.70053,0.9999,1,1e-100,0.27267,0.74417,4,0.2538,0.85451,1
"cysteine biosynthetic process from serine [GO:0006535]",3,0.54047,0.21238,0.65873,0.45953,0.78772,1,0.2524,0.73123,0.9999,1,1.9361e-06,0.42146,0.8905,2,0.3786,0.86541,1
"phosphatidylinositol dephosphorylation [GO:0046856]",13,0.64652,0.26457,0.7017,0.35348,0.73553,1,0.45182,0.9994,0.9999,5,0.66832,0.9971,0.9993,8,0.31651,0.9688,1
"autophagosome-lysosome fusion [GO:0061909]",4,0.65041,0.35756,0.82059,0.34959,0.64254,1,0.36145,0.91571,0.9999,1,0.32456,0.69833,0.9993,3,0.37375,0.94011,1
"cytidine deamination [GO:0009972]",4,0.63804,0.33217,0.81049,0.36196,0.66793,1,0.29869,0.85901,0.9999,1,0.14956,0.60864,0.9993,3,0.3484,0.92641,1
"dUMP biosynthetic process [GO:0006226]",3,0.98923,0.85461,1,0.010775,0.14549,0.50234,0.02155,0.32077,0.65223,0,NA,NA,NA,3,0.02155,0.38526,0.75473
"ceramide catabolic process [GO:0046514]",6,0.80327,0.67483,1,0.19673,0.32527,0.78706,0.39346,0.9692,0.9999,0,NA,NA,NA,6,0.39346,0.9854,1
"adenosine 5'-(hexahydrogen pentaphosphate) catabolic process [GO:1901911]",4,0.19844,0.0071993,0.1112,0.80156,0.9929,1,0.39688,0.93541,0.9999,4,0.39688,0.84392,0.9993,0,NA,NA,NA
"diadenosine hexaphosphate catabolic process [GO:1901909]",4,0.19844,0.0071993,0.1112,0.80156,0.9929,1,0.39688,0.93541,0.9999,4,0.39688,0.84392,0.9993,0,NA,NA,NA
"diadenosine pentaphosphate catabolic process [GO:1901907]",4,0.19844,0.0071993,0.1112,0.80156,0.9929,1,0.39688,0.93541,0.9999,4,0.39688,0.84392,0.9993,0,NA,NA,NA
"diphosphoinositol polyphosphate metabolic process [GO:0071543]",4,0.19844,0.0071993,0.1112,0.80156,0.9929,1,0.39688,0.93541,0.9999,4,0.39688,0.84392,0.9993,0,NA,NA,NA
"inositol phosphate catabolic process [GO:0071545]",6,0.3309,0.012399,0.15045,0.6691,0.9877,1,0.47722,0.9935,0.9999,5,0.48342,0.94721,0.9993,1,0.44625,0.88781,1
"intracellular phosphate ion homeostasis [GO:0030643]",6,0.3309,0.012399,0.15045,0.6691,0.9877,1,0.47722,0.9935,0.9999,5,0.48342,0.94721,0.9993,1,0.44625,0.88781,1
"polyphosphate catabolic process [GO:0006798]",4,0.19844,0.0071993,0.1112,0.80156,0.9929,1,0.39688,0.93541,0.9999,4,0.39688,0.84392,0.9993,0,NA,NA,NA
"inositol phosphate biosynthetic process [GO:0032958]",8,0.32486,0.0048995,0.1112,0.67514,0.9952,1,0.51129,0.9986,0.9999,7,0.52058,0.9876,0.9993,1,0.44625,0.88781,1
"amino acid catabolic process to alcohol via Ehrlich pathway [GO:0000947]",3,1,0.94451,1,3.7711e-13,0.055994,0.27695,7.5421e-13,0.11429,0.2865,0,NA,NA,NA,3,7.5421e-13,0.14189,0.38879
"formaldehyde catabolic process [GO:0046294]",3,1,0.94451,1,3.7711e-13,0.055994,0.27695,7.5421e-13,0.11429,0.2865,0,NA,NA,NA,3,7.5421e-13,0.14189,0.38879
"furaldehyde metabolic process [GO:0033859]",3,1,0.94451,1,3.7711e-13,0.055994,0.27695,7.5421e-13,0.11429,0.2865,0,NA,NA,NA,3,7.5421e-13,0.14189,0.38879
"tetrahydrofolate interconversion [GO:0035999]",5,0.93303,0.87921,1,0.066971,0.12099,0.44282,0.13394,0.47875,0.87612,0,NA,NA,NA,5,0.13394,0.57704,0.9386
"fructose metabolic process [GO:0006000]",3,0.66605,0.36226,0.82059,0.33395,0.63784,1,0.0012322,0.21778,0.48602,1,1e-100,0.27267,0.74417,2,0.0018482,0.41596,0.79123
"glucose metabolic process [GO:0006006]",4,0.74788,0.53135,1,0.25212,0.46875,0.97479,0.0042477,0.15898,0.37511,1,1e-100,0.27267,0.74417,3,0.0056637,0.30527,0.7123
"fructose 1,6-bisphosphate metabolic process [GO:0030388]",3,0.076378,0.0078992,0.1112,0.92362,0.9922,1,0.15276,0.60284,0.9999,3,0.15276,0.39356,0.85927,0,NA,NA,NA
"fructose 6-phosphate metabolic process [GO:0006002]",4,0.30728,0.036896,0.30691,0.69272,0.9632,1,0.11457,0.48715,0.88266,3,0.15276,0.39356,0.85927,1,1e-100,0.36796,0.75473
"malate metabolic process [GO:0006108]",6,0.5,0.10089,0.47183,0.5,0.89921,1,5.6735e-11,0.013899,0.079483,3,1e-100,0.022798,0.4223,3,1.1347e-10,0.15568,0.4128
"pentose-phosphate shunt, oxidative branch [GO:0009051]",3,1,1,1,1e-100,0.050595,0.27695,1e-100,0.044296,0.14475,0,NA,NA,NA,3,1e-100,0.047895,0.17462
"L-proline biosynthetic process [GO:0055129]",3,0.66667,0.43386,0.90222,0.33333,0.60784,1,6.7114e-35,0.070293,0.21088,1,2.0134e-34,0.33247,0.80534,2,1e-100,0.13649,0.38879
"glycerol-3-phosphate metabolic process [GO:0006072]",3,0.80261,0.61484,1,0.19739,0.38566,0.88243,0.27189,0.76212,0.9999,1,0.81568,0.90211,0.9993,2,1e-100,0.13649,0.38879
"NADH oxidation [GO:0006116]",3,0.80261,0.61484,1,0.19739,0.38566,0.88243,0.27189,0.76212,0.9999,1,0.81568,0.90211,0.9993,2,1.9637e-89,0.15068,0.40569
"adenine biosynthetic process [GO:0046084]",3,0.66667,0.43386,0.90222,0.33333,0.60784,1,1e-100,0.044296,0.14475,1,1e-100,0.27267,0.74417,2,1e-100,0.13649,0.38879
"2-oxoglutarate metabolic process [GO:0006103]",6,0.83333,0.78482,1,0.16667,0.21888,0.61623,1.9718e-57,0.0026997,0.024703,1,1e-100,0.27267,0.74417,5,2.3661e-57,0.012899,0.10749
"hydrogen peroxide metabolic process [GO:0042743]",6,0.83333,0.78482,1,0.16667,0.21888,0.61623,1.9718e-57,0.0026997,0.024703,1,1e-100,0.27267,0.74417,5,2.3661e-57,0.012899,0.10749
"isoleucine catabolic process [GO:0006550]",6,0.83333,0.78482,1,0.16667,0.21888,0.61623,1.9718e-57,0.0026997,0.024703,1,1e-100,0.27267,0.74417,5,2.3661e-57,0.012899,0.10749
"L-leucine catabolic process [GO:0006552]",7,0.85714,0.83302,1,0.14286,0.16708,0.546,5.8474e-07,0.013199,0.079095,1,1e-100,0.27267,0.74417,6,6.822e-07,0.043396,0.17462
"L-serine biosynthetic process [GO:0006564]",8,0.875,0.89271,1,0.125,0.10789,0.43766,1.4788e-57,0.00059994,0.0091491,1,1e-100,0.27267,0.74417,7,1.6901e-57,0.0019998,0.031815
"pyruvate metabolic process [GO:0006090]",9,0.77778,0.67693,1,0.22222,0.32367,0.78706,1.8426e-20,0.00079992,0.01126,2,1e-100,0.077692,0.4223,7,2.369e-20,0.0052995,0.066243
"valine catabolic process [GO:0006574]",6,0.83333,0.78482,1,0.16667,0.21888,0.61623,1.9718e-57,0.0026997,0.024703,1,1e-100,0.27267,0.74417,5,2.3661e-57,0.012899,0.10749
"GTP biosynthetic process [GO:0006183]",10,0.88622,0.92421,1,0.11378,0.075892,0.33874,0.20081,0.72863,0.9999,1,0.86621,0.9556,0.9993,9,0.12687,0.57684,0.9386
"glyoxylate cycle [GO:0006097]",3,0.33333,0.057494,0.3394,0.66667,0.9528,1,6.8641e-19,0.09739,0.26209,2,1e-100,0.077692,0.4223,1,2.0592e-18,0.49495,0.89295
"L-serine catabolic process [GO:0006565]",3,0.33333,0.057494,0.3394,0.66667,0.9528,1,1.283e-18,0.09959,0.26413,2,1.9245e-18,0.13059,0.51839,1,1e-100,0.36796,0.75473
"GDP-mannose biosynthetic process [GO:0009298]",3,1,1,1,1e-100,0.050595,0.27695,1e-100,0.044296,0.14475,0,NA,NA,NA,3,1e-100,0.047895,0.17462
"inositol metabolic process [GO:0006020]",5,0.57772,0.19948,0.63507,0.42228,0.80062,1,0.53394,0.9951,0.9999,3,0.74114,0.993,0.9993,2,0.22313,0.78192,1
"mitotic spindle assembly [GO:0090307]",4,0.47215,0.10829,0.47183,0.52785,0.89181,1,0.66742,0.9986,0.9999,3,0.74114,0.993,0.9993,1,0.44625,0.88781,1
"regulation of bipolar cell growth [GO:0051516]",4,0.47215,0.10829,0.47183,0.52785,0.89181,1,0.66742,0.9986,0.9999,3,0.74114,0.993,0.9993,1,0.44625,0.88781,1
"regulation of mitotic spindle elongation (spindle phase three) [GO:0110162]",4,0.47215,0.10829,0.47183,0.52785,0.89181,1,0.66742,0.9986,0.9999,3,0.74114,0.993,0.9993,1,0.44625,0.88781,1
"isopentenyl diphosphate biosynthetic process, mevalonate pathway [GO:0019287]",6,0.50001,0.10389,0.47183,0.49999,0.89621,1,1.654e-05,0.026997,0.12229,3,3.308e-05,0.080592,0.4223,3,1e-100,0.047895,0.17462
"nucleotide metabolic process [GO:0009117]",5,0.71293,0.45815,0.92134,0.28707,0.54195,1,0.28102,0.84212,0.9999,1,0.26721,0.66833,0.9993,4,0.28447,0.89671,1
"CTP metabolic process [GO:0046036]",8,0.5329,0.10099,0.47183,0.4671,0.89911,1,0.39821,0.9866,0.9999,5,0.57121,0.9841,0.9993,3,0.10989,0.59534,0.9386
"UDP catabolic process [GO:0006256]",8,0.5329,0.10099,0.47183,0.4671,0.89911,1,0.39821,0.9866,0.9999,5,0.57121,0.9841,0.9993,3,0.10989,0.59534,0.9386
"purine nucleotide biosynthetic process [GO:0006164]",5,0.98757,0.94531,1,0.01243,0.054795,0.27695,0.024859,0.17168,0.3977,0,NA,NA,NA,5,0.024859,0.24468,0.60709
"DNA damage response [GO:0006974]",9,0.87358,0.88811,1,0.12642,0.11199,0.43766,0.22312,0.79442,0.9999,1,0.86621,0.9556,0.9993,8,0.14273,0.63914,0.97377
"L-lysine catabolic process to acetyl-CoA via saccharopine [GO:0033512]",3,1,1,1,1e-100,0.050595,0.27695,1e-100,0.044296,0.14475,0,NA,NA,NA,3,1e-100,0.047895,0.17462
"protein autoprocessing [GO:0016540]",3,0.43276,0.13159,0.49267,0.56724,0.86861,1,0.19885,0.65653,0.9999,2,0.29827,0.62574,0.9993,1,5.7787e-85,0.39246,0.75473
"deoxyribonucleotide biosynthetic process [GO:0009263]",4,0.74937,0.53865,1,0.25063,0.46145,0.97064,0.0012617,0.13839,0.33466,1,1.8254e-37,0.32537,0.80534,3,0.0016822,0.28097,0.67356
"deoxyribonucleoside triphosphate catabolic process [GO:0009204]",4,0.66378,0.37666,0.82059,0.33622,0.62344,1,0.30605,0.86781,0.9999,1,0.26721,0.66833,0.9993,3,0.319,0.88911,1
"nucleoside triphosphate catabolic process [GO:0009143]",4,0.66378,0.37666,0.82059,0.33622,0.62344,1,0.30605,0.86781,0.9999,1,0.26721,0.66833,0.9993,3,0.319,0.88911,1
"methane catabolic process [GO:0046188]",3,1,0.94451,1,3.7711e-13,0.055994,0.27695,7.5421e-13,0.11429,0.2865,0,NA,NA,NA,3,7.5421e-13,0.14189,0.38879
