rxn_IDs	rxnNames	slope	grRules	rxn_formula
300_EXP_1	citrate synthase	5.17666721043368	YALI0E00638g	H2O[m] + acetyl-CoA[m] + oxaloacetate[m] + 0.084794 prot_Q6C7I2[c] => H+_p+1[m] + citrate[m] + coenzyme A[m]
466	glucose 6-phosphate dehydrogenase	3.72368140258057	YALI0E22649g	D-glucose 6-phosphate[c] + NADP(+)[c] + 0.19044 prot_Q6C4Y7[c] => H+_p+1[c] + 6-O-phosphono-D-glucono-1,5-lactone[c] + NADPH[c]
889	phosphogluconate dehydrogenase	3.72368140258057	YALI0B15598g	6-phospho-D-gluconate[c] + NADP(+)[c] + 0.20391 prot_Q6CEH4[c] => NADPH[c] + carbon dioxide[c] + D-ribulose 5-phosphate[c]
91_EXP_2	6-phosphogluconolactonase	3.72368140258057	YALI0E11671g	6-O-phosphono-D-glucono-1,5-lactone[c] + H2O[c] + 0.46735 prot_Q6C682[c] => H+_p+1[c] + 6-phospho-D-gluconate[c]
471	glutamate dehydrogenase (NADP)	3.48759135665335	YALI0F17820g	H+_p+1[c] + ammonium[c] + NADPH[c] + 2-oxoglutarate[c] + 0.00048387 prot_Q6C1A9[c] => H2O[c] + NADP(+)[c] + L-glutamate[c]
467_REV	glucose-6-phosphate isomerase (reversible)	3.03670771124763	YALI0F07711g	D-fructose 6-phosphate[c] + 0.026471 prot_Q6C2I1[c] => D-glucose 6-phosphate[c]
984	ribulose 5-phosphate 3-epimerase	2.65805881083423	YALI0C11880g	D-ribulose 5-phosphate[c] + 0.0058126 prot_Q6CC71[c] => D-xylulose 5-phosphate[c]
569_EXP_2	inorganic diphosphatase	2.15828620405556	YALI0F13541g	diphosphate[m] + H2O[m] + 0.034338 prot_Q6C1T4[c] => H+_p+1[m] + 2 phosphate[m]
1049	transketolase 1	1.36805919789834	YALI0E06479g	ribose-5-phosphate[c] + D-xylulose 5-phosphate[c] + 0.37347 prot_Q6C6T4[c] => glyceraldehyde 3-phosphate[c] + sedoheptulose 7-phosphate[c]
811	nucleoside-diphosphate kinase (ATP:UDP)	1.34133343681199	YALI0F09229g	UDP[c] + ATP[c] + 0.0022864 prot_Q6C2B5[c] => ADP[c] + UTP[c]
476	glutamine synthetase	1.28553089854578	YALI0F00506g	ATP[c] + ammonium[c] + L-glutamate[c] + 0.21461 prot_Q6C3E0[c] => H+_p+1[c] + L-glutamine[c] + ADP[c] + phosphate[c]
280_EXP_2	cis-aconitate(3-) to isocitrate	1.02387696633832	YALI0E14949g	H2O[m] + cis-aconitate[m] + 0.048851 prot_Q6C5V2[c] => isocitrate[m]
302_EXP_2	citrate to cis-aconitate(3-)	1.02387696633832	YALI0E14949g	citrate[m] + 0.68378 prot_Q6C5V2[c] => H2O[m] + cis-aconitate[m]
2183	stearoyl-CoA desaturase (n-C18:0CoA - n-C18:1CoA), ER membrane	0.698988755666772	YALI0C05951g	stearoyl-CoA[em] + oxygen[em] + NADH[em] + H+_p+1[em] + 7.2744 prot_Q6CCW6[c] => 2 H2O[em] + NAD[em] + oleoyl-CoA[em]
1084	UTP-glucose-1-phosphate uridylyltransferase	0.679494150144182	YALI0A02310g	H+_p+1[c] + UTP[c] + D-glucose 1-phosphate[c] + 0.16543 prot_Q6CI26[c] => UDP-D-glucose[c] + diphosphate[c]
888	phosphoglucomutase	0.679494150144182	YALI0E02090g	D-glucose 6-phosphate[c] + 2.0542 prot_Q6C7B8[c] => D-glucose 1-phosphate[c]
5_EXP_1	1,3-beta-glucan synthase	0.674588829631913	YALI0C01411g	UDP-D-glucose[c] + 1.1905 prot_Q6CDD3[c] => (1-3)-beta-D-glucan[en] + H+_p+1[c] + UDP[c]
1069	UDP-N-acetylglucosamine diphosphorylase	0.620930629742598	YALI0E03146g	H+_p+1[c] + UTP[c] + N-acetyl-alpha-D-glucosamine 1-phosphate[c] + 0.761 prot_Q6C776[c] => diphosphate[c] + UDP-N-acetyl-alpha-D-glucosamine[c]
272_EXP_3	chitin synthase	0.620930629742598	YALI0D03179g	UDP-N-acetyl-alpha-D-glucosamine[c] + 1.4878 prot_Q6CAF6[c] => H+_p+1[c] + UDP[c] + chitin_H2O(C8H13NO5)n[c]
477	glutamine-fructose-6-phosphate transaminase	0.620930629742598	YALI0B21428g	L-glutamine[c] + D-fructose 6-phosphate[c] + 0.60144 prot_Q6CDT1[c] => L-glutamate[c] + alpha-D-glucosamine 6-phosphate[c]
760	N-acetylglucosamine-6-phosphate synthase	0.620930629742598	YALI0D20152g	alpha-D-glucosamine 6-phosphate[c] + acetyl-CoA[c] + 0.13893 prot_Q6C8F2[c] => H+_p+1[c] + coenzyme A[c] + N-acetyl-D-glucosamine 6-phosphate[c]
882	phosphoacetylglucosamine mutase	0.620930629742598	YALI0E29579g	N-acetyl-D-glucosamine 6-phosphate[c] + 1.1545 prot_Q6C454[c] => N-acetyl-alpha-D-glucosamine 1-phosphate[c]
891	phosphoglycerate dehydrogenase	0.514212022314349	YALI0F09966g	NAD[c] + 3-phosphoglycerate[c] + 1.2337 prot_Q6C284[c] => H+_p+1[c] + NADH[c] + 3-phospho-hydroxypyruvate[c]
917	phosphoserine phosphatase (L-serine)	0.514212022314349	YALI0B20438g	H2O[c] + 3-phospho-serine[c] + 0.082307 prot_Q6CDX6[c] => phosphate[c] + L-serine[c]
918	phosphoserine transaminase	0.514212022314349	YALI0F06468g	L-glutamate[c] + 3-phospho-hydroxypyruvate[c] + 0.96798 prot_Q6C2N1[c] => 2-oxoglutarate[c] + 3-phospho-serine[c]
452	fumarase, cytoplasmic	0.506117044881762	YALI0C06776g	fumarate[c] + H2O[c] + 0.012784 prot_Q6CCT2[c] => (S)-malate[c]
yli0009	oleoyl-CoA desaturase (n-C18:1CoA - n-C18:2CoA), ER membrane	0.490898111329524	YALI0C05951g	oxygen[em] + NADH[em] + oleoyl-CoA[em] + H+_p+1[em] + 7.1235 prot_Q6CCW6[c] => 2 H2O[em] + NAD[em] + linoleoyl-CoA[em]
718	malic enzyme (NAD)	0.417199654752408	YALI0E18634g	NAD[m] + (S)-malate[m] + 0.14314 prot_Q6C5F0[c] => pyruvate[m] + NADH[m] + carbon dioxide[m]
2131	isocitrate dehydrogenase	0.417199654752408	YALI0F04095g	NADP(+)[m] + isocitrate[m] + 0.17888 prot_Q6C2Y4[c] => NADPH[m] + 2-oxoglutarate[m] + carbon dioxide[m]
337u	diacylglycerol pyrophosphate phosphatase	0.293617359998747	YALI0D27016g	H2O[em] + phosphatidate_ActiveX VT_ERROR:[em] + 0.062262 prot_Q6C7L9[c] => phosphate[em] + diglyceride_ActiveX VT_ERROR:[em]
336u_1_EXP_2	diacylglycerol acyltransferase	0.286564501080216	YALI0D07986g	diglyceride_ActiveX VT_ERROR:[em] + acyl-CoA[em] + 0.0034567 prot_Q6C9V5[c] => triglyceride_ActiveX VT_ERROR:[em] + coenzyme A[em]
352	dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylbutanoate)	0.262656316409153	YALI0C23408g	(R)-2,3-dihydroxy-3-methylbutanoate[m] + 1.4783 prot_Q6CAY2[c] => H2O[m] + 3-methyl-2-oxobutanoate[m]
96	acetohydroxy acid isomeroreductase	0.262656316409153	YALI0D03135g	2-acetyllactic acid[m] + NADPH[m] + H+_p+1[m] + 12.517 prot_Q6CAF8[c] => (R)-2,3-dihydroxy-3-methylbutanoate[m] + NADP(+)[m]
97_EXP_1	acetolactate synthase	0.262656316409153	YALI0C00253g	2 pyruvate[m] + H+_p+1[m] + 0.16961 prot_Q6CDI5[c] => 2-acetyllactic acid[m] + carbon dioxide[m]
496	glycerol-3-phosphate/dihydroxyacetone phosphate acyltransferase	0.261543790808477	YALI0C00209g	acyl-CoA[lp] + glycerol 3-phosphate[lp] + 10.9063 prot_Q6CDI7[c] => coenzyme A[lp] + 1-acyl-sn-glycerol 3-phosphate_ActiveX VT_ERROR:[lp]
9u_EXP_3	1-acyl-sn-gylcerol-3-phosphate acyltransferase	0.261543790808477	YALI0D17534g	acyl-CoA[lp] + 1-acyl-sn-glycerol 3-phosphate_ActiveX VT_ERROR:[lp] + 0.001346 prot_Q6C8R8[c] => phosphatidate_ActiveX VT_ERROR:[lp] + coenzyme A[lp]
800	nucleoside diphosphate kinase	0.253991203585875	YALI0F09229g	ATP[c] + GDP[c] + 0.0022864 prot_Q6C2B5[c] => ADP[c] + GTP[c]
215	aspartate kinase	0.246937838930915	YALI0D11704g	ATP[c] + L-aspartate[c] + 0.067028 prot_Q6C9F1[c] => ADP[c] + 4-phospho-L-aspartate[c]
219	aspartate-semialdehyde dehydrogenase	0.246937838930915	YALI0D13596g	H+_p+1[c] + 4-phospho-L-aspartate[c] + NADPH[c] + 1.504 prot_Q6C968[c] => L-aspartate 4-semialdehyde[c] + phosphate[c] + NADP(+)[c]
547	homoserine dehydrogenase (NADP)	0.246937838930915	YALI0D01089g	H+_p+1[c] + L-aspartate 4-semialdehyde[c] + NADPH[c] + 0.29756 prot_Q6CAP2[c] => NADP(+)[c] + L-homoserine[c]
156	alanine glyoxylate aminotransferase	0.241099362142795	YALI0E16643g	L-alanine[c] + glyoxylate[c] + 0.086694 prot_Q6C5N1[c] => pyruvate[c] + L-glycine[c]
662_EXP_1	isocitrate lyase	0.241099362142795	YALI0C16885g	isocitrate[c] + 1.4322 prot_P41555[c] => glyoxylate[c] + succinate[c]
1041	threonine synthase	0.228385338688851	YALI0F23221g	H2O[c] + O-phospho-L-homoserine[c] + 0.003794 prot_Q6C0N3[c] => phosphate[c] + L-threonine[c]
548	homoserine kinase	0.228385338688851	YALI0F13453g	ATP[c] + L-homoserine[c] + 0.26002 prot_Q6C1T8[c] => H+_p+1[c] + ADP[c] + O-phospho-L-homoserine[c]
